pos_x, pos_y, theta (rad)
0.00296497, 0.196842, 0.0301238
0.00291109, 0.195037, 0.0298474
0.00285721, 0.193232, 0.029571
0.0028038, 0.191426, 0.0292947
0.00275135, 0.189621, 0.0290183
0.00269938, 0.187816, 0.0287419
0.00264788, 0.186009, 0.0284656
0.00259638, 0.184204, 0.0281892
0.00254583, 0.182399, 0.0279129
0.00249577, 0.180593, 0.0276365
0.0024457, 0.178788, 0.0273601
0.00239706, 0.176983, 0.0270838
0.00234795, 0.175177, 0.0268074
0.00229979, 0.173371, 0.026531
0.0022521, 0.171566, 0.0262547
0.00220537, 0.169761, 0.0259783
0.00215864, 0.167954, 0.0257019
0.00211239, 0.166149, 0.0254256
0.00206661, 0.164344, 0.0251492
0.00202131, 0.162539, 0.0248728
0.00197697, 0.160732, 0.0245965
0.00193262, 0.158927, 0.0243201
0.00188875, 0.157122, 0.0240438
0.00184584, 0.155315, 0.0237674
0.0018034, 0.15351, 0.023491
0.00176096, 0.151704, 0.0232147
0.00171947, 0.149899, 0.0229383
0.00167799, 0.148093, 0.0226619
0.00163746, 0.146287, 0.0223856
0.00159693, 0.144482, 0.0221092
0.00155735, 0.142675, 0.0218328
0.00151825, 0.14087, 0.0215565
0.0014801, 0.139064, 0.0212801
0.00144148, 0.137259, 0.0210037
0.00140381, 0.135452, 0.0207274
0.00136662, 0.133647, 0.020451
0.0013299, 0.131841, 0.0201747
0.00129366, 0.130035, 0.0198983
0.00125837, 0.128229, 0.0196219
0.00122261, 0.126424, 0.0193456
0.00118828, 0.124618, 0.0190692
0.00115442, 0.122812, 0.0187928
0.00112009, 0.121006, 0.0185165
0.00108719, 0.119201, 0.0182401
0.00105429, 0.117394, 0.0179637
0.00102234, 0.115588, 0.0176874
0.000990391, 0.113783, 0.017411
0.000959396, 0.111977, 0.0171346
0.000928879, 0.110171, 0.0168583
0.000898361, 0.108365, 0.0165819
0.000868797, 0.106559, 0.0163056
0.000839233, 0.104753, 0.0160292
0.0008111, 0.102947, 0.0157528
0.00078249, 0.101141, 0.0154765
0.000754833, 0.0993357, 0.0152001
0.000727654, 0.0975294, 0.0149237
0.000700951, 0.0957232, 0.0146474
0.000674725, 0.0939178, 0.014371
0.000648975, 0.0921116, 0.0140946
0.00062418, 0.0903053, 0.0138183
0.000598907, 0.0884991, 0.0135419
0.000575066, 0.0866938, 0.0132655
0.000551224, 0.0848875, 0.0129892
0.000528336, 0.0830812, 0.0127128
0.000505447, 0.081275, 0.0124364
0.000483036, 0.0794697, 0.0121601
0.000461578, 0.0776634, 0.0118837
0.000440121, 0.0758572, 0.0116073
0.000419617, 0.0740509, 0.011331
0.000399113, 0.0722456, 0.0110546
0.000380039, 0.0704393, 0.0107782
0.000360489, 0.0686331, 0.0105019
0.000341415, 0.0668268, 0.0102255
0.000323296, 0.0650206, 0.00994915
0.000305653, 0.0632153, 0.00967279
0.000288486, 0.061409, 0.00939642
0.000271797, 0.0596027, 0.00912005
0.000255585, 0.0577965, 0.00884369
0.000239849, 0.0559902, 0.00856732
0.00022459, 0.054184, 0.00829096
0.000209808, 0.0523787, 0.00801459
0.000195503, 0.0505724, 0.00773823
0.000182152, 0.0487661, 0.00746186
0.0001688, 0.0469599, 0.0071855
0.000155926, 0.0451536, 0.00690913
0.000143528, 0.0433474, 0.00663277
0.000132084, 0.0415411, 0.0063564
0.00012064, 0.0397358, 0.00608004
0.000110149, 0.0379295, 0.00580367
9.9659e-05, 0.0361233, 0.00552731
9.01222e-05, 0.034317, 0.00525094
8.10623e-05, 0.0325108, 0.00497457
7.20024e-05, 0.0307045, 0.00469821
6.38962e-05, 0.0288982, 0.00442184
5.62668e-05, 0.027092, 0.00414548
4.91142e-05, 0.0252867, 0.00386911
4.19617e-05, 0.0234804, 0.00359275
3.57628e-05, 0.0216742, 0.00331638
3.05176e-05, 0.0198679, 0.00304002
2.47955e-05, 0.0180616, 0.00276365
2.00272e-05, 0.0162554, 0.00248729
1.57356e-05, 0.0144491, 0.00221092
1.19209e-05, 0.0126429, 0.00193456
9.05991e-06, 0.0108366, 0.00165819
6.19888e-06, 0.0090313, 0.00138183
3.8147e-06, 0.00722504, 0.00110546
2.38419e-06, 0.00541878, 0.000829095
9.53674e-07, 0.00361252, 0.00055273
4.76837e-07, 0.00180626, 0.000276364
0, 0, -9.31323e-10
